ElapsedTime MemUsed
.018709439 32.5703
.086298266 41.8633
.152433483 43.5
.216118116 44.0977
.279879956 44.7109
.343085732 45.3164
.406644915 45.9297
.469986229 46.5312
.533083827 47.2109
.596899954 47.9805
.661739268 48.4609
.725537897 49.1094
.789263818 49.7461
.852417367 50.3711
.915725224 50.9805
.979104964 51.4492
1.042284419 51.9609
1.105772652 52.3672
1.169480529 53.1328
1.233446925 53.5625
1.297089401 54.3711
1.360440745 54.7773
1.424022122 55.543
1.487645026 56.0391
1.550647960 56.5469
1.614275141 57.3945
1.678101973 58.0469
1.741185640 58.5273
1.804831457 59.168
1.868794304 59.5625
1.932122853 60.2109
1.995674749 61.0508
2.058682411 61.5195
2.122706542 62.1484
2.186307807 62.7461
2.249648275 63.3594
2.313278348 63.9414
2.377237904 64.6797
2.440568259 65.2617
2.504310920 65.9336
2.568127581 66.4492
2.632174409 67.1719
2.696076392 67.832
2.760175936 68.5391
2.823731415 69.0977
2.887403692 69.6133
2.950516557 70.3047
3.014199199 70.9531
3.079209735 71.5586
3.142844700 72.0703
3.206340905 72.7656
3.269640845 73.3672
3.333136796 73.9688
3.396947169 74.4609
3.460372389 74.9023
3.523741610 75.5625
3.587931390 76.1523
3.651271055 76.9023
3.717667879 77.5664
3.781521500 78.1484
3.845119768 78.7383
3.908899660 79.2227
3.972548848 79.8945
4.044882700 80.4727
4.113808894 81.2188
4.179293144 81.8008
4.244799859 82.1992
4.310146349 82.8516
4.373539424 83.457
4.437082223 84.0938
4.501006869 84.5977
4.564584101 85.3711
4.628439129 86.207
4.693281980 86.9766
4.756916586 87.4883
4.820996151 88.1367
4.884371881 88.7891
4.948406626 89.6289
5.012310774 90.0547
5.075645639 90.6602
5.139285340 91.2695
5.202969888 91.8672
5.266235830 92.4219
5.329633937 93.0664
5.393673457 93.7109
5.457373237 94.3633
5.520967413 95.0234
5.584699989 95.6719
5.648299501 96.3203
5.712499363 96.9062
5.775663640 97.6797
5.839372210 98.2734
5.902998021 98.9258
5.966589201 99.5703
6.030538291 100.211
6.094052242 101.117
6.158179166 101.816
6.221866630 102.445
6.285272711 102.957
6.348915497 103.648
6.413026089 104.285
6.477536467 104.938
6.541423243 105.773
6.605493443 106.586
6.669294756 107.258
6.733091477 107.852
6.796443933 108.52
6.860507994 109.18
6.924140629 109.84
6.987324945 110.496
7.053265353 111.094
7.117870453 111.75
7.181382046 112.5
7.244937691 113.09
7.308767638 113.48
7.372466884 114.039
7.436423814 114.691
7.499797828 115.297
7.563319446 115.898
7.627838841 116.508
7.691446833 117.328
7.755264297 117.941
7.819484628 118.457
7.883312071 119.195
7.947076172 119.879
8.010221346 120.457
8.073752619 121.191
8.137557525 121.836
8.201196593 122.348
8.264854527 123.121
8.329308246 123.645
8.392841304 124.156
8.456353866 124.84
8.519663021 125.438
8.583460083 125.949
8.647391280 126.332
8.711461667 126.844
8.774790878 127.223
8.838932409 127.953
8.902373266 128.441
8.966132969 129
9.030369867 129.641
9.094242401 130.242
9.158394274 130.836
9.221506416 131.445
9.285266145 132.047
